2#和3#反应器运行数据（输入数据相同）,,,,,,,,,,2#反应器,,,,,,,,,,,,,3#反应器,,,,,,,,,,,,,
时间,系统输入（进水指标）,,,,,,,,,系统输出（出水指标）,,,,影响因素,,,,,时间,系统输入（进水指标）,,,,,,,,,系统输出（出水指标）,,,,影响因素,,,
,进水主参数,,,,,影响因素（进水的其他指标）,,,,主参数,,,,反应器内,,当地气温,,,,进水主参数,,,,,影响因素（进水的其他指标）,,,,主参数,,,,反应器内,,当地气温,
05/12/2014,11.23 ,15600,2088,5.38 ,0.0511 ,6.72 ,31 ,356,1056,,909,56.47 ,229.8,7.13,31,3,-8,,05/12/2014,7.78 ,10800,2088,3.72 ,0.0354 ,6.72,31,356,1056,,736,64.75 ,240 ,7.54,30,3,-8
06/12/2014,9.87 ,15600,1835,5.38 ,0.0516 ,6.67 ,31 ,253,996,,825,55.04 ,246,7.05,31,6,-4,,06/12/2014,6.83 ,10800,1835,3.72 ,0.0358 ,6.665,31,253,996,,667,63.65 ,216 ,7.49,30,6,-4
07/12/2014,11.79 ,15600,2191,5.38 ,0.0490 ,6.62 ,32 ,312,1074,,960,56.18 ,222,7.11,32,6,-4,,07/12/2014,8.16 ,10800,2191,3.72 ,0.0339 ,6.62,32,312,1074,,769,64.90 ,192 ,7.61,31,6,-4
08/12/2014,12.01 ,15600,2233,5.38 ,0.0506 ,6.70 ,32 ,331,1056,,984,55.93 ,246,7.1,32,5,-4,,08/12/2014,8.32 ,10800,2233,3.72 ,0.0350 ,6.7,32,331,1056,,706,68.38 ,132 ,7.52,30,5,-4
09/12/2014,9.48 ,13200,2082,4.55 ,0.0410 ,6.56 ,33 ,280,900,,935,55.09 ,192,7.1,32,5,0,,09/12/2014,9.48 ,13200,2082,4.55 ,0.0410 ,6.56,33,280,900,,584,71.95 ,54 ,7.55,32,5,0
10/12/2014,8.35 ,12000,2018,4.14 ,0.0327 ,6.75 ,31 ,346,888,,983,51.29 ,186,7.01,32,7,-4,,10/12/2014,11.69 ,16800,2018,5.79 ,0.0458 ,6.75,31,346,888,,707,64.97 ,42 ,7.45,31,7,-4
11/12/2014,9.10 ,12000,2199,4.14 ,0.0393 ,6.74 ,31 ,259,876,,1027,53.30 ,180,7.06,31,2,-7,,11/12/2014,12.74 ,16800,2199,5.79 ,0.0550 ,6.74,30.6,259,876,,787,64.21 ,36 ,7.38,29,2,-7
12/12/2014,8.93 ,12000,2158,4.14 ,0.0389 ,6.69 ,32 ,274,894,,968,55.14 ,180,7.11,31,3,-8,,12/12/2014,13.39 ,18000,2158,6.21 ,0.0583 ,6.69,32,274,894,,758,64.87 ,54 ,7.58,31,3,-8
13/12/2014,8.69 ,12000,2101,4.14 ,0.0372 ,6.66 ,32 ,282,858,,955,54.55 ,168,7.18,32,5,-6,,13/12/2014,13.91 ,19200,2101,6.62 ,0.0596 ,6.66,32,282,858,,778,62.97 ,66 ,7.55,31,5,-6
14/12/2014,7.85 ,12000,1897,4.14 ,0.0377 ,6.83 ,32 ,209,804,,922,51.40 ,174,7.3,31,6,-2,,14/12/2014,12.56 ,19200,1897,6.62 ,0.0602 ,6.83,32,209,804,,655,65.47 ,54 ,7.57,30,6,-2
15/12/2014,6.71 ,10800,1801,3.72 ,0.0335 ,6.84 ,31 ,351,816,,748,58.47 ,150,7.19,31,6,-7,,15/12/2014,11.18 ,18000,1801,6.21 ,0.0559 ,6.84,31,351,816,,612,66.02 ,72 ,7.38,31,6,-7
16/12/2014,6.69 ,10800,1796,3.72 ,0.0305 ,6.86 ,29 ,246,768,,744,58.57 ,156,7.18,29,0,-7,,16/12/2014,11.15 ,18000,1796,6.21 ,0.0509 ,6.86,29,246,768,,628,65.03 ,66 ,7.58,29,0,-7
17/12/2014,5.71 ,9600,1725,3.31 ,0.0324 ,6.97 ,29 ,377,636,,737,57.28 ,144,7.08,29,4,-6,,17/12/2014,11.42 ,19200,1725,6.62 ,0.0649 ,6.97,29,377,636,,629,63.54 ,58 ,7.52,29,4,-6
18/12/2014,5.15 ,8400,1777,2.90 ,0.0272 ,7.01 ,30 ,265,672,,754,57.57 ,132,7.03,30,9,-2,,18/12/2014,12.50 ,20400,1777,7.03 ,0.0661 ,7.01,30,265,672,,675,62.01 ,66 ,7.6,29,9,-2
19/12/2014,3.30 ,4800,1993,1.66 ,0.0156 ,6.89 ,31 ,313,726,,647,67.54 ,78,7.04,30,10,-6,,19/12/2014,13.20 ,19200,1993,6.62 ,0.0622 ,6.89,31,313,726,,625,68.64 ,48 ,7.4,28,10,-6
20/12/2014,3.67 ,4800,2215,1.66 ,0.0139 ,6.59 ,31 ,162,936,,728,67.13 ,108,7.07,31,3,-6,,20/12/2014,15.58 ,20400,2215,7.03 ,0.0591 ,6.59,31,162,936,,734,66.86 ,54 ,7.44,30,3,-6
21/12/2014,3.92 ,5520,2057,1.90 ,0.0158 ,6.67 ,31 ,284,936,,1067,48.13 ,384,7.04,30,2,-6,,21/12/2014,15.32 ,21600,2057,7.45 ,0.0618 ,6.67,31,284,936,,661,67.87 ,54 ,7.56,30,2,-6
22/12/2014,1.61 ,2400,1949,0.83 ,0.0070 ,6.62 ,31 ,198,960,,1280,34.33 ,588,6.96,31,8,-4,,22/12/2014,14.52 ,21600,1949,7.45 ,0.0626 ,6.62,31,198,960,,695,64.34 ,36 ,7.57,32,8,-4
14/02/2015,0.98 ,1200,2366,0.41 ,0.0042 ,6.72 ,34 ,255,1128,,405,82.88 ,108,7.22,12,17,-4,,14/02/2015,17.62 ,21600,2366,7.45 ,0.0752 ,6.72,34,255,1128,,790,66.61 ,96 ,7.51,34,17,-4
15/02/2015,3.07 ,3600,2473,1.24 ,0.0104 ,6.61 ,34 ,333,1188,,745,69.87 ,114,7.3,25,10,-3,,15/02/2015,18.42 ,21600,2473,7.45 ,0.0626 ,6.61,34,333,1188,,831,66.40 ,90 ,7.47,33,10,-3
16/02/2015,3.34 ,4800,2018,1.66 ,0.0170 ,6.90 ,33 ,263,1008,,641,68.24 ,108,7.33,31,10,-1,,16/02/2015,15.03 ,21600,2018,7.45 ,0.0767 ,6.9,33,263,1008,,706,65.01 ,84 ,7.53,32,10,-1
17/02/2015,3.66 ,4800,2209,1.66 ,0.0164 ,6.87 ,33 ,315,1038,,733,66.82 ,114,7.36,32,10,-6,,17/02/2015,16.45 ,21600,2209,7.45 ,0.0737 ,6.87,33,315,1038,,839,62.02 ,84 ,7.53,32,10,-6
18/02/2015,3.53 ,4800,2130,1.66 ,0.0164 ,6.81 ,33 ,166,978,,761,64.27 ,138,7.33,33,8,-7,,18/02/2015,15.86 ,21600,2130,7.45 ,0.0737 ,6.81,33,166,978,,892,58.12 ,90 ,7.48,33,8,-7
19/02/2015,3.56 ,4800,2150,1.66 ,0.0149 ,6.67 ,33 ,195,1020,,801,62.74 ,126,7.3,33,7,-2,,19/02/2015,16.01 ,21600,2150,7.45 ,0.0670 ,6.674,33,195,1020,,898,58.23 ,84 ,7.47,33,7,-2
20/02/2015,3.29 ,4800,1990,1.66 ,0.0169 ,6.73 ,32 ,258,954,,693,65.18 ,126,7.25,32,7,2,,20/02/2015,14.82 ,21600,1990,7.45 ,0.0760 ,6.73,32,258,954,,753,62.16 ,90 ,7.46,32,7,2
21/02/2015,3.53 ,4800,2134,1.66 ,0.0169 ,6.71 ,33 ,245,1014,,722,66.17 ,108,7.26,32,12,-3,,21/02/2015,15.89 ,21600,2134,7.45 ,0.0760 ,6.71,33,245,1014,,796,62.70 ,98 ,7.48,32,12,-3
22/02/2015,3.44 ,4800,2080,1.66 ,0.0159 ,6.80 ,33 ,202,1008,,753,63.80 ,108,7.32,32,6,-7,,22/02/2015,15.49 ,21600,2080,7.45 ,0.0715 ,6.8,33,202,1008,,802,61.44 ,78 ,7.47,32,6,-7
23/02/2015,3.35 ,4800,2026,1.66 ,0.0179 ,6.76 ,33 ,208,942,,676,66.63 ,78,7.23,32,8,-7,,23/02/2015,15.09 ,21600,2026,7.45 ,0.0804 ,6.76,33,208,942,,802,60.41 ,60 ,7.41,32,8,-7
24/02/2015,3.48 ,4800,2104,1.66 ,0.0149 ,6.60 ,33 ,237,924,,720,65.78 ,54,7.26,33,9,-2,,24/02/2015,15.67 ,21600,2104,7.45 ,0.0670 ,6.6,33,237,924,,787,62.60 ,54 ,7.38,33,9,-2
25/02/2015,3.55 ,5520,1864,1.90 ,0.0177 ,6.81 ,31 ,242,876,,617,66.90 ,30,7.29,32,8,-3,,25/02/2015,11.11 ,17280,1864,5.96 ,0.0554 ,6.81,31,242,876,,700,62.45 ,24 ,7.48,32,8,-3
27/02/2015,1.62 ,2400,1952,0.83 ,0.0099 ,7.14 ,26 ,142,870,,496,74.59 ,24,7.21,25,5,-3,,27/02/2015,9.69 ,14400,1952,4.97 ,0.0596 ,7.14,26,142,870,,773,60.40 ,24 ,7.53,26,5,-3
28/02/2015,1.65 ,2400,1994,0.83 ,0.0104 ,7.01 ,26 ,233,846,,643,67.75 ,30,7.22,25,11,-2,,28/02/2015,10.23 ,14880,1994,5.13 ,0.0647 ,7.01,26,233,846,,793,60.23 ,30 ,7.51,25,11,-2
01/03/2015,4.76 ,7200,1916,2.48 ,0.0320 ,7.06 ,25 ,221,846,,786,58.98 ,24,7.36,25,15,-1,,01/03/2015,7.45 ,11280,1916,3.89 ,0.0502 ,7.06,25,221,846,,694,63.78 ,36 ,7.46,24,15,-1
02/03/2015,3.66 ,4800,2212,1.66 ,0.0192 ,6.86 ,25 ,193,1002,,851,61.53 ,30,7.39,24,10,-1,,02/03/2015,8.60 ,11280,2212,3.89 ,0.0451 ,6.86,25,193,1002,,701,68.31 ,36 ,7.54,24,10,-1
03/03/2015,3.90 ,5280,2142,1.82 ,0.0231 ,6.87 ,24 ,195,978,,835,61.02 ,30,7.31,24,6,-5,,03/03/2015,8.33 ,11280,2142,3.89 ,0.0494 ,6.87,24,195,978,,792,63.03 ,42 ,7.5,24,6,-5
04/03/2015,5.02 ,7200,2021,2.48 ,0.0315 ,6.80 ,23 ,148,966,,682,66.25 ,54,7.31,24,8,-8,,04/03/2015,6.36 ,9120,2021,3.14 ,0.0399 ,6.8,23,148,966,,678,66.45 ,36 ,7.49,23,8,-8
05/03/2015,6.01 ,8400,2076,2.90 ,0.0298 ,6.82 ,24 ,160,1026,,707,65.94 ,42,7.27,24,12,-4,,05/03/2015,6.87 ,9600,2076,3.31 ,0.0341 ,6.82,24,160,1026,,647,68.83 ,72 ,7.62,23,12,-4
06/03/2015,7.59 ,9600,2292,3.31 ,0.0271 ,6.51 ,26 ,220,1128,,774,66.23 ,36,7.22,26,15,0,,06/03/2015,9.10 ,11520,2292,3.97 ,0.0326 ,6.51,26,220,1128,,640,72.08 ,48 ,7.55,25,15,0
07/03/2015,8.94 ,10800,2400,3.72 ,0.0257 ,6.43 ,27 ,238,1098,,745,68.96 ,36,7.12,26,13,2,,07/03/2015,8.74 ,10560,2400,3.64 ,0.0251 ,6.43,27,238,1098,,678,71.75 ,42 ,7.47,26,13,2
08/03/2015,8.69 ,12000,2101,4.14 ,0.0244 ,6.49 ,29 ,282,1110,,850,59.54 ,54,7.19,29,8,-4,,08/03/2015,7.48 ,10320,2101,3.56 ,0.0210 ,6.49,29,282,1110,,832,60.40 ,36 ,7.55,28,8,-4
09/03/2015,11.11 ,13200,2441,4.55 ,0.0332 ,6.60 ,27 ,225,1056,,829,66.04 ,30,7.21,27,7,-6,,09/03/2015,8.08 ,9600,2441,3.31 ,0.0242 ,6.6,27,225,1056,,630,74.19 ,42 ,7.62,27,7,-6
10/03/2015,11.65 ,14400,2347,4.97 ,0.0437 ,6.70 ,26 ,189,1032,,919,60.84 ,36,7.2,26,12,-2,,10/03/2015,7.77 ,9600,2347,3.31 ,0.0291 ,6.7,26,189,1032,,661,71.84 ,48 ,7.6,26,12,-2
11/03/2015,11.97 ,15600,2226,5.38 ,0.0538 ,6.68 ,27 ,194,882,,835,62.49 ,30,7.17,26,16,-2,,11/03/2015,6.45 ,8400,2226,2.90 ,0.0290 ,6.68,27,194,882,,698,68.64 ,36 ,7.52,26,16,-2
12/03/2015,11.05 ,16800,1907,5.79 ,0.0620 ,6.72 ,26 ,203,882,,831,56.42 ,48,7.12,26,14,1,,12/03/2015,8.36 ,12720,1907,4.39 ,0.0469 ,6.72,26,203,882,,699,63.35 ,30 ,7.3,27,14,1
13/03/2015,11.68 ,18000,1881,6.21 ,0.0515 ,6.83 ,29 ,397,822,,696,63.00 ,36,7.09,28,14,1,,13/03/2015,7.78 ,12000,1881,4.14 ,0.0343 ,6.83,29,397,822,,685,63.58 ,36 ,7.29,28,14,1
14/03/2015,15.34 ,18480,2407,6.37 ,0.0618 ,6.57 ,32 ,317,786,,802,66.68 ,60,7.24,31,18,2,,14/03/2015,14.94 ,18000,2407,6.21 ,0.0602 ,6.57,32,317,786,,738,69.34 ,42 ,7.31,31,18,2
15/03/2015,14.93 ,18240,2373,6.29 ,0.0679 ,6.62 ,33 ,501,948,,766,67.72 ,96,7.16,33,23,6,,15/03/2015,13.55 ,16560,2373,5.71 ,0.0617 ,6.62,33,501,948,,933,60.68 ,78 ,7.26,32,23,6
16/03/2015,15.29 ,18480,2400,6.37 ,0.0663 ,6.64 ,35 ,559,978,,780,67.50 ,60,7.16,34,14,10,,16/03/2015,13.11 ,15840,2400,5.46 ,0.0568 ,6.64,35,559,978,,617,74.29 ,48 ,7.5,33,14,10
17/03/2015,15.77 ,18000,2541,6.21 ,0.0664 ,6.67 ,35 ,449,1086,,806,68.28 ,42,7.21,34,12,4,,17/03/2015,15.35 ,17520,2541,6.04 ,0.0646 ,6.67,35,449,1086,,781,69.26 ,36 ,7.61,34,12,4
18/03/2015,13.34 ,17040,2270,5.88 ,0.0646 ,6.82 ,34 ,475,990,,877,61.37 ,36,7.18,34,18,1,,18/03/2015,14.47 ,18480,2270,6.37 ,0.0701 ,6.82,34,475,990,,690,69.60 ,36 ,7.65,33,18,1
19/03/2015,15.37 ,18000,2477,6.21 ,0.0596 ,6.64 ,35 ,339,1098,,778,68.59 ,54,7.22,34,22,6,,19/03/2015,15.99 ,18720,2477,6.46 ,0.0620 ,6.64,35,339,1098,,680,72.55 ,30 ,7.66,34,22,6
20/03/2015,14.39 ,18000,2318,6.21 ,0.0528 ,6.71 ,35 ,349,1122,,884,61.86 ,53.4,7.22,34,17,7,,20/03/2015,14.96 ,18720,2318,6.46 ,0.0549 ,6.71,35,349,1122,,690,70.23 ,18 ,7.74,33,17,7
21/03/2015,12.76 ,18240,2028,6.29 ,0.0679 ,6.92 ,33 ,322,948,,683,66.32 ,48,7.33,33,12,3,,21/03/2015,12.76 ,18240,2028,6.29 ,0.0679 ,6.92,33,322,948,,613,69.77 ,42 ,7.77,33,12,3
22/03/2015,15.39 ,18240,2447,6.29 ,0.0667 ,6.72 ,34 ,299,1056,,796,67.47 ,60,7.37,33,16,0,,22/03/2015,15.80 ,18720,2447,6.46 ,0.0684 ,6.72,34,299,1056,,835,65.88 ,48 ,7.76,32,16,0
23/03/2015,15.87 ,18960,2428,6.54 ,0.0536 ,6.65 ,34 ,331,996,,840,65.40 ,72,7.32,33,20,2,,23/03/2015,16.48 ,19680,2428,6.79 ,0.0556 ,6.65,34,331,996,,790,67.46 ,60 ,7.66,33,20,2
24/03/2015,15.89 ,19200,2400,6.62 ,0.0669 ,6.64 ,35 ,405,996,,782,67.42 ,54,7.27,34,20,5,,24/03/2015,16.09 ,19440,2400,6.70 ,0.0677 ,6.64,35,405,996,,713,70.29 ,42 ,7.65,34,20,5
25/03/2015,15.53 ,19200,2346,6.62 ,0.0669 ,6.72 ,36 ,528,984,,808,65.56 ,66,7.28,34,22,4,,25/03/2015,15.92 ,19680,2346,6.79 ,0.0685 ,6.72,36,528,984,,722,69.22 ,42 ,7.69,34,22,4
26/03/2015,16.25 ,19200,2455,6.62 ,0.0695 ,6.81 ,35 ,399,1050,,863,64.85 ,42,7.34,35,21,4,,26/03/2015,16.46 ,19440,2455,6.70 ,0.0704 ,6.81,35,399,1050,,734,70.10 ,54 ,7.77,34,21,4
27/03/2015,14.72 ,18000,2371,6.21 ,0.0677 ,6.99 ,36 ,405,1068,,839,64.61 ,54,7.39,35,24,9,,27/03/2015,14.91 ,18240,2371,6.29 ,0.0686 ,6.99,36,405,1068,,774,67.36 ,30 ,7.87,35,24,9
28/03/2015,12.95 ,18000,2087,6.21 ,0.0670 ,6.78 ,35 ,461,1068,,858,58.89 ,36,7.4,35,24,6,,28/03/2015,13.13 ,18240,2087,6.29 ,0.0679 ,6.78,35,461,1068,,760,63.58 ,30 ,7.86,34,24,6
29/03/2015,11.02 ,16800,1902,5.79 ,0.0475 ,6.71 ,35 ,335,768,,791,58.41 ,30,7.37,35,26,9,,29/03/2015,11.65 ,17760,1902,6.12 ,0.0502 ,6.71,35,335,768,,766,59.73 ,30 ,7.76,35,26,9
30/03/2015,10.49 ,17280,1761,5.96 ,0.0667 ,7.12 ,35 ,657,720,,668,62.07 ,18,7.42,34,22,9,,30/03/2015,10.35 ,17040,1761,5.88 ,0.0658 ,7.12,35,657,720,,658,62.63 ,12 ,7.79,34,22,9
31/03/2015,10.55 ,18720,1635,6.46 ,0.0710 ,6.80 ,34 ,323,708,,747,54.31 ,42,7.56,34,15,7,,31/03/2015,10.69 ,18960,1635,6.54 ,0.0719 ,6.8,34,323,708,,863,47.22 ,54 ,7.62,33,15,7
01/04/2015,11.32 ,18240,1799,6.29 ,0.0478 ,6.69 ,33 ,486,768,,692,61.53 ,18,7.53,33,10,8,,01/04/2015,11.46 ,18480,1799,6.37 ,0.0484 ,6.69,33,486,768,,696,61.31 ,18 ,7.55,32,10,8
02/04/2015,11.82 ,19680,1742,6.79 ,0.0441 ,6.62 ,33 ,307,678,,659,62.17 ,24,7.5,32,14,5,,02/04/2015,11.82 ,19680,1742,6.79 ,0.0441 ,6.62,33,307,678,,627,64.01 ,12 ,7.54,31,14,5
03/04/2015,13.53 ,19200,2043,6.62 ,0.0463 ,6.62 ,34 ,837,1008,,728,64.37 ,36,7.4,32,15,4,,03/04/2015,13.53 ,19200,2043,6.62 ,0.0463 ,6.62,34,837,1008,,682,66.62 ,18 ,7.74,31,15,4
04/04/2015,12.20 ,18000,1966,6.21 ,0.0571 ,6.73 ,34 ,1331,924,,782,60.22 ,42,7.29,33,18,4,,04/04/2015,12.53 ,18480,1966,6.37 ,0.0586 ,6.73,34,1331,924,,612,68.87 ,36 ,7.7,32,18,4
05/04/2015,11.81 ,18480,1853,6.37 ,0.0561 ,6.91 ,35 ,787,822,,672,63.73 ,36,7.28,33,10,3,,05/04/2015,11.96 ,18720,1853,6.46 ,0.0568 ,6.91,35,787,822,,625,66.27 ,36 ,7.6,31,10,3
06/04/2015,13.47 ,18720,2087,6.46 ,0.0633 ,6.84 ,34 ,517,828,,794,61.95 ,30,7.34,32,12,0,,06/04/2015,13.64 ,18960,2087,6.54 ,0.0641 ,6.84,34,517,828,,667,68.04 ,24 ,7.66,31,12,0
07/04/2015,12.26 ,18480,1924,6.37 ,0.0612 ,6.82 ,33 ,615,900,,693,63.98 ,36,7.31,31,16,0,,07/04/2015,12.26 ,18480,1924,6.37 ,0.0612 ,6.82,33,615,900,,608,68.40 ,60 ,7.82,30,16,0
08/04/2015,13.94 ,18960,2132,6.54 ,0.0634 ,6.76 ,33 ,661,852,,744,65.10 ,30,7.3,32,17,3,,08/04/2015,13.59 ,18480,2132,6.37 ,0.0618 ,6.76,33,661,852,,668,68.67 ,30 ,7.78,31,17,3
10/04/2015,13.01 ,17520,2153,6.04 ,0.0429 ,6.59 ,34 ,,930,,721,66.51 ,42,7.23,34,24,8,,10/04/2015,14.43 ,19440,2153,6.70 ,0.0476 ,6.59,34,,930,,783,63.63 ,24 ,7.46,33,24,8
11/04/2015,14.37 ,17760,2347,6.12 ,0.0410 ,6.69 ,35 ,,990,,881,62.46 ,30,7.42,35,16,8,,11/04/2015,15.93 ,19680,2347,6.79 ,0.0455 ,6.69,35,,990,,761,67.58 ,30 ,7.54,33,16,8
12/04/2015,13.10 ,18960,2003,6.54 ,0.0458 ,6.80 ,32 ,198,1020,,825,58.81 ,54,7.32,32,11,5,,12/04/2015,13.59 ,19680,2003,6.79 ,0.0475 ,6.8,32,198,1020,,718,64.15 ,24 ,7.72,32,11,5
13/04/2015,13.89 ,18960,2124,6.54 ,0.0673 ,6.84 ,32 ,227,744,,735,65.40 ,42,7.47,32,20,3,,13/04/2015,14.06 ,19200,2124,6.62 ,0.0682 ,6.84,32,227,744,,711,66.53 ,18 ,7.57,31,20,3
14/04/2015,14.43 ,19200,2179,6.62 ,0.0609 ,6.81 ,34 ,167,954,,797,63.42 ,54,7.45,33,27,10,,14/04/2015,14.61 ,19440,2179,6.70 ,0.0617 ,6.81,34,167,954,,723,66.82 ,36 ,7.54,33,27,10
15/04/2015,15.15 ,18720,2347,6.46 ,0.0620 ,6.72 ,36 ,181,924,,728,68.98 ,36,7.46,35,23,11,,15/04/2015,15.34 ,18960,2347,6.54 ,0.0628 ,6.72,36,181,924,,740,68.47 ,24 ,7.51,34,23,11
16/04/2015,16.54 ,18960,2530,6.54 ,0.0445 ,6.54 ,36 ,212,1182,,672,73.44 ,24,7.36,34,24,9,,16/04/2015,16.75 ,19200,2530,6.62 ,0.0450 ,6.54,36,212,1182,,759,70.00 ,24 ,7.45,35,24,9
17/04/2015,15.19 ,18960,2323,6.54 ,0.0471 ,6.80 ,36 ,273,1218,,783,66.29 ,42,7.36,35,20,10,,17/04/2015,15.38 ,19200,2323,6.62 ,0.0477 ,6.8,36,273,1218,,733,68.45 ,30 ,7.51,35,20,10
18/04/2015,15.57 ,19200,2351,6.62 ,0.0503 ,6.75 ,36 ,295,1218,,797,66.10 ,24,7.45,35,17,9,,18/04/2015,15.57 ,19200,2351,6.62 ,0.0503 ,6.75,36,295,1218,,591,74.86 ,18 ,7.57,35,17,9
19/04/2015,13.86 ,19200,2093,6.62 ,0.0536 ,6.64 ,34 ,204,1158,,747,64.31 ,18,7.55,34,20,6,,19/04/2015,13.86 ,19200,2093,6.62 ,0.0536 ,6.64,34,204,1158,,542,74.10 ,18 ,7.57,33,20,6
20/04/2015,12.92 ,18480,2028,6.37 ,0.0472 ,6.92 ,33 ,297,1146,,708,65.09 ,24,7.44,32,25,7,,20/04/2015,12.59 ,18000,2028,6.21 ,0.0459 ,6.92,33,297,1146,,648,68.05 ,18 ,7.62,32,25,7
21/04/2015,15.36 ,18720,2379,6.46 ,0.0658 ,6.81 ,35 ,253,1020,,943,60.36 ,18,7.52,32,24,8,,21/04/2015,15.36 ,18720,2379,6.46 ,0.0658 ,6.81,35,253,1020,,707,70.28 ,12 ,7.59,34,24,8
22/04/2015,16.45 ,19200,2484,6.62 ,0.0424 ,6.47 ,37 ,235,1194,,790,68.20 ,30,7.47,37,30,13,,22/04/2015,16.45 ,19200,2484,6.62 ,0.0424 ,6.47,37,235,1194,,660,73.43 ,24 ,7.64,35,30,13
23/04/2015,16.45 ,18240,2616,6.29 ,0.0566 ,6.47 ,37 ,228,1056,,1136,56.57 ,42,7.46,36,26,12,,23/04/2015,16.45 ,18240,2616,6.29 ,0.0566 ,6.47,37,228,1056,,812,68.96 ,24 ,7.69,35,26,12
24/04/2015,15.70 ,18960,2401,6.54 ,0.0562 ,6.39 ,38 ,249,1044,,843,64.89 ,36,7.42,37,30,14,,24/04/2015,15.50 ,18720,2401,6.46 ,0.0555 ,6.39,38,249,1044,,704,70.68 ,24 ,7.7,36,30,14
25/04/2015,14.66 ,19200,2214,6.62 ,0.0503 ,6.79 ,38 ,343,1200,,929,58.04 ,19.2,7.47,37,32,18,,25/04/2015,14.66 ,19200,2214,6.62 ,0.0503 ,6.79,38,343,1200,,720,67.48 ,6 ,7.51,36,32,18
