Date,OLR,F,inCOD,HLR,ALR,pH0,T,TSS,VFA,outCOD,CODrate,VFA1,pH1,T_in,T_high,T_low
09/01/2015,17.24,12000,2413,7.14,0.0514,6.51,31.0,242,1128.0,842,65.11,72.0,7.26,31.0,7.0,-7
10/01/2015,17.59,12000,2462,7.14,0.0586,6.51,32.0,283,1158.0,826,66.45,66.0,7.31,32.0,12.0,-4
11/01/2015,17.39,11760,2484,7.0,0.0595,6.55,31.0,281,1140.0,787,68.32,54.0,7.31,31.0,5.0,-7
12/01/2015,18.89,11760,2699,7.0,0.055999999999999994,6.55,31.0,193,1206.0,873,67.65,60.0,7.28,32.0,5.0,-3
13/01/2015,18.06,10800,2809,6.43,0.0534,6.46,32.0,237,1260.0,884,68.53,66.0,7.26,32.0,6.0,-4
14/01/2015,17.15,11520,2501,6.86,0.0665,6.72,32.0,238,1158.0,842,66.33,54.0,7.38,32.0,8.0,-3
15/01/2015,17.17,10800,2671,6.43,0.0643,6.69,31.0,281,1248.0,834,68.78,78.0,7.36,32.0,7.0,-1
16/01/2015,14.96,10800,2327,6.43,0.0752,6.98,31.0,173,1068.0,801,65.58,66.0,7.5,31.0,4.0,-8
17/01/2015,15.13,10800,2353,6.43,0.0714,6.84,30.0,299,1098.0,820,65.15,54.0,7.45,30.0,4.0,-2
18/01/2015,15.34,11040,2335,6.57,0.067,6.81,31.0,120,1158.0,766,67.19,54.0,7.48,31.0,9.0,-5
19/01/2015,17.48,11280,2603,6.71,0.0577,6.76,31.0,171,1278.0,843,67.61,60.0,7.34,31.0,7.0,-3
20/01/2015,16.71,11520,2437,6.86,0.061,6.69,31.0,249,1230.0,777,68.12,54.0,7.34,31.0,10.0,-1
21/01/2015,16.74,11760,2392,7.0,0.0567,6.66,32.0,199,1176.0,777,67.52,54.0,7.31,32.0,2.0,-6
22/01/2015,15.25,11040,2321,6.57,0.0497,6.63,32.0,253,1212.0,724,68.81,66.0,7.3,32.0,5.0,-8
23/01/2015,17.4,11520,2538,6.86,0.0507,6.61,32.0,304,1272.0,818,67.77,66.0,7.29,32.0,10.0,-4
24/01/2015,16.15,11040,2457,6.57,0.0519,6.65,32.0,255,1218.0,769,68.7,66.0,7.3,32.0,8.0,1
25/01/2015,16.41,11280,2444,6.71,0.0537,6.67,31.0,147,1182.0,874,64.24,72.0,7.31,31.0,4.0,-4
26/01/2015,17.69,11760,2527,7.0,0.0609,6.67,31.0,113,1170.0,938,62.88,66.0,7.31,31.0,5.0,-7
27/01/2015,17.58,11760,2511,7.0,0.0588,6.64,31.0,101,1212.0,834,66.79,78.0,7.35,31.0,0.0,-8
28/01/2015,17.92,11520,2613,6.86,0.0624,6.7,31.0,259,1224.0,876,66.48,78.0,7.34,30.0,1.0,-7
29/01/2015,16.43,10800,2555,6.43,0.0579,6.72,29.0,143,1266.0,816,68.06,84.0,7.37,30.0,3.0,-5
30/01/2015,16.3,11040,2481,6.57,0.0572,6.65,30.0,253,1242.0,788,68.24,84.0,7.41,29.0,2.0,-8
31/01/2015,16.1,11040,2450,6.57,0.0545,6.61,30.0,188,1224.0,802,67.27,90.0,7.39,30.0,2.0,-9
01/02/2015,16.63,11040,2531,6.57,0.0539,6.53,31.0,227,1248.0,832,67.13,84.0,7.33,31.0,4.0,-8
02/02/2015,16.5,10800,2567,6.43,0.0514,6.55,30.0,243,1260.0,796,68.99,90.0,7.34,31.0,6.0,-8
03/02/2015,15.44,11040,2349,6.57,0.0591,6.62,30.0,183,1122.0,796,66.11,84.0,7.39,30.0,5.0,-4
04/02/2015,15.99,10800,2488,6.43,0.0591,6.65,30.0,262,1176.0,785,68.45,72.0,7.41,30.0,4.0,-5
05/02/2015,17.2,10560,2736,6.29,0.0585,6.75,30.0,301,1326.0,862,68.49,102.0,7.45,30.0,4.0,-9
06/02/2015,17.96,10560,2858,6.29,0.0591,6.72,31.0,152,1350.0,953,66.66,84.0,7.45,31.0,8.0,-3
07/02/2015,16.03,10560,2551,6.29,0.0591,6.79,31.0,221,1254.0,843,66.95,78.0,7.49,30.0,2.0,-9
08/02/2015,16.75,10800,2606,6.43,0.0611,6.78,30.0,245,1266.0,913,64.97,96.0,7.49,30.0,1.0,-9
09/02/2015,15.72,10560,2501,6.29,0.0597,6.74,30.0,224,1242.0,787,68.53,78.0,7.45,30.0,8.0,-4
10/02/2015,17.4,10800,2707,6.43,0.0598,6.68,32.0,192,1290.0,926,65.79,84.0,7.45,32.0,13.0,-2
11/02/2015,17.1,10800,2660,6.43,0.0739,6.67,32.0,219,1230.0,867,67.41,96.0,7.53,32.0,10.0,-6
12/02/2015,16.62,10800,2585,6.43,0.0643,6.73,31.0,200,1236.0,952,63.17,90.0,7.49,31.0,5.0,-5
13/02/2015,16.11,10560,2563,6.29,0.0654,6.71,32.0,195,1254.0,854,66.68,114.0,7.44,32.0,13.0,-1
14/02/2015,16.85,10800,2621,6.43,0.0694,6.69,33.0,143,1266.0,823,68.6,90.0,7.51,33.0,17.0,-4
15/02/2015,21.16,12000,2963,7.14,0.0721,6.65,33.0,245,1422.0,877,70.4,102.0,7.46,33.0,10.0,-3
16/02/2015,10.78,8400,2155,5.0,0.045,6.75,31.0,241,1110.0,760,64.73,90.0,7.5,31.0,10.0,-1
17/02/2015,6.14,7200,1433,4.29,0.0519,7.05,30.0,120,942.0,695,51.5,102.0,7.53,29.0,10.0,-6
18/02/2015,6.55,7200,1528,4.29,0.0497,7.01,29.0,163,960.0,674,55.89,96.0,7.53,29.0,8.0,-7
19/02/2015,9.16,7680,2004,4.57,0.0544,6.89,31.0,171,936.0,806,59.78,108.0,7.48,30.0,7.0,-2
20/02/2015,8.28,7440,1870,4.43,0.057999999999999996,6.85,30.0,169,894.0,787,57.91,120.0,7.47,30.0,7.0,2
21/02/2015,10.52,8400,2103,5.0,0.055999999999999994,6.74,31.0,191,1092.0,799,62.01,99.0,7.45,31.0,12.0,-3
22/02/2015,8.3,7200,1937,4.29,0.0523,6.81,30.0,153,942.0,817,57.82,96.0,7.47,30.0,6.0,-7
23/02/2015,7.94,7200,1852,4.29,0.0501,6.76,30.0,190,870.0,709,61.72,66.0,7.42,30.0,8.0,-7
24/02/2015,8.2,7200,1914,4.29,0.0454,6.68,31.0,182,900.0,782,59.14,48.0,7.41,31.0,12.0,2
25/02/2015,9.02,7920,1913,4.71,0.0528,6.7,31.0,193,858.0,735,61.58,54.0,7.38,31.0,10.0,-3
26/02/2015,6.26,6000,1752,3.57,0.0414,6.75,30.0,274,852.0,838,52.17,210.0,7.44,28.0,7.0,-4
16/06/2015,4.26,2400,2980,1.43,0.013000000000000001,6.14,37.0,326,1086.0,996,66.58,6.0,7.1,37.0,34.0,19
17/06/2015,4.27,2400,2991,1.43,0.012,6.83,36.0,300,1410.0,976,67.37,96.0,7.25,36.0,33.0,21
18/06/2015,6.41,3600,2991,2.14,0.018000000000000002,6.76,36.0,218,1452.0,927,69.01,96.0,7.28,36.0,31.0,16
19/06/2015,4.17,2400,2918,1.43,0.0116,6.46,37.0,318,1494.0,851,70.84,96.0,7.35,36.0,29.0,17
20/06/2015,7.06,4800,2471,2.86,0.0271,6.51,36.0,426,1170.0,734,70.3,102.0,7.35,36.0,29.0,17
21/06/2015,7.74,4800,2709,2.86,0.032,6.43,37.0,296,1248.0,701,74.12,90.0,7.23,37.1,32.0,18
22/06/2015,7.92,4560,2917,2.71,0.0282,6.37,37.0,648,1304.4,774,73.47,96.0,7.24,37.0,33.0,20
23/06/2015,8.02,4560,2955,2.71,0.0255,6.35,38.0,420,1350.0,832,71.84,78.0,7.2,37.0,31.0,21
24/06/2015,10.84,6000,3036,3.57,0.0332,6.33,39.0,442,1464.0,858,71.74,108.0,7.24,39.0,28.0,19
25/06/2015,13.28,7200,3099,4.29,0.0429,6.85,38.0,126,1386.0,832,73.15,108.0,7.28,39.0,24.0,19
26/06/2015,12.61,7200,2942,4.29,0.0437,6.46,38.0,418,1326.0,904,69.27,78.0,7.18,38.0,30.0,19
27/06/2015,4.03,2400,2824,1.43,0.012,6.35,39.0,326,1206.0,934,66.93,96.0,7.17,39.0,31.0,21
28/06/2015,3.83,2400,2681,1.43,0.0136,6.98,38.0,234,1104.0,796,70.31,96.0,7.15,38.0,28.0,21
29/06/2015,5.98,3840,2617,2.29,0.0201,6.89,36.0,302,1134.0,668,74.47,84.0,7.1,38.0,28.0,19
30/06/2015,10.56,6000,2957,3.57,0.0289,6.22,39.0,370,1248.0,911,69.19,90.0,7.26,38.0,27.0,17
01/07/2015,14.04,8400,2808,5.0,0.045,6.35,38.0,336,1170.0,766,72.72,36.0,7.26,38.0,33.0,18
02/07/2015,13.79,8400,2757,5.0,0.044000000000000004,6.27,39.0,624,1188.0,830,69.89,90.0,7.15,39.0,33.0,18
03/07/2015,13.77,8400,2753,5.0,0.044000000000000004,6.28,38.0,406,1158.0,808,70.65,54.0,7.17,38.0,32.0,16
04/07/2015,10.83,7920,2298,4.71,0.0476,6.47,38.0,366,1002.0,634,72.41,60.0,7.27,37.0,31.0,18
05/07/2015,11.98,8400,2396,5.0,0.055999999999999994,6.51,38.0,296,948.0,728,69.62,60.0,7.34,38.0,32.0,20
06/07/2015,12.3,8400,2459,5.0,0.049,6.29,39.0,504,1050.0,672,72.67,72.0,7.18,39.0,30.0,20
07/07/2015,10.87,8400,2174,5.0,0.0505,6.28,39.0,408,1080.0,813,62.6,66.0,7.19,39.0,31.0,18
08/07/2015,9.45,6000,2645,3.57,0.0361,6.31,39.0,288,1038.0,800,69.75,72.0,7.18,39.0,31.0,18
09/07/2015,14.16,8640,2754,5.14,0.0494,6.67,37.0,428,1092.0,830,69.86,78.0,7.29,37.8,32.0,22
10/07/2015,13.44,7920,2851,4.71,0.049,6.76,37.0,364,1056.0,964,66.19,36.0,7.3,37.0,30.0,22
11/07/2015,13.7,8160,2821,4.86,0.0437,6.62,39.0,464,1110.0,855,69.69,66.0,7.05,38.0,32.0,23
12/07/2015,14.52,8160,2990,4.86,0.0437,6.66,38.0,436,1068.0,842,71.84,66.0,7.23,39.0,29.0,23
13/07/2015,12.56,8160,2586,4.86,0.0495,6.86,38.0,588,972.0,771,70.19,60.0,7.4,38.0,37.0,23
14/07/2015,12.68,8160,2611,4.86,0.0452,6.85,37.0,132,1074.0,716,72.58,72.0,7.29,38.0,37.0,22
15/07/2015,12.23,7920,2594,4.71,0.0471,6.84,37.0,292,1020.0,741,71.43,42.0,7.36,37.0,35.0,22
16/07/2015,13.27,8160,2733,4.86,0.0447,6.9,37.0,426,1092.0,762,72.12,60.0,7.44,37.0,28.0,22
17/07/2015,12.49,7920,2649,4.71,0.0504,6.91,36.0,210,1098.0,745,71.88,96.0,7.34,37.0,31.0,21
18/07/2015,12.19,7920,2586,4.71,0.0556,6.98,36.0,389,1104.0,796,69.22,78.0,7.36,36.0,32.0,20
19/07/2015,11.12,7200,2594,4.29,0.0274,6.95,36.0,190,1350.0,632,75.64,54.0,7.39,36.0,29.0,22
20/07/2015,11.84,7440,2674,4.43,0.0469,6.47,39.0,265,1116.0,695,74.01,84.0,7.36,38.0,28.0,22
21/07/2015,12.59,7680,2754,4.57,0.0448,6.34,39.0,275,1218.0,712,74.15,72.0,7.09,38.0,32.0,22
22/07/2015,14.68,8400,2935,5.0,0.047,6.51,38.0,282,1158.0,821,72.03,72.0,7.08,38.0,33.0,24
23/07/2015,13.08,8400,2615,5.0,0.049,6.48,39.0,298,1008.0,657,74.88,54.0,7.11,37.0,31.0,23
24/07/2015,13.71,8400,2741,5.0,0.0505,6.43,39.0,300,1062.0,737,73.11,60.0,7.15,39.0,31.0,22
25/07/2015,14.99,8400,2998,5.0,0.0485,6.56,39.0,238,1158.0,758,74.72,84.0,7.3,39.0,33.0,24
26/07/2015,13.24,8160,2726,4.86,0.0549,6.66,39.0,275,1020.0,731,73.18,60.0,7.27,38.0,34.0,24
27/07/2015,13.66,8160,2812,4.86,0.0476,6.64,38.0,349,1134.0,695,75.28,48.0,7.18,39.0,35.0,25
28/07/2015,12.97,7920,2751,4.71,0.0457,6.67,39.0,258,1068.0,723,73.72,60.0,7.19,39.0,34.0,26
29/07/2015,12.81,7680,2803,4.57,0.0384,6.61,38.0,240,1206.0,691,75.35,66.0,7.27,38.0,35.0,27
30/07/2015,14.06,8400,2812,5.0,0.040999999999999995,6.35,39.0,296,1188.0,748,73.4,66.0,7.15,38.5,35.0,25
31/07/2015,13.7,7920,2906,4.71,0.0453,6.49,39.0,250,1032.0,724,75.09,72.0,7.09,39.0,32.0,24
01/08/2015,14.34,7680,3137,4.57,0.0384,6.52,39.0,352,1158.0,837,73.32,48.0,6.94,40.0,32.0,25
02/08/2015,13.27,7200,3096,4.29,0.039,6.62,38.0,273,1080.0,809,73.87,48.0,7.06,39.5,34.0,28
03/08/2015,10.88,6960,2625,4.14,0.0369,6.59,38.0,123,990.0,662,74.78,36.0,7.18,38.0,33.0,25
04/08/2015,9.65,8400,1930,5.0,0.045,6.57,37.0,292,756.0,609,68.45,30.0,7.34,38.0,27.0,24
05/08/2015,10.36,7920,2198,4.71,0.0339,6.49,38.0,147,888.0,577,73.75,30.0,7.1,38.0,32.0,24
06/08/2015,10.63,8400,2125,5.0,0.040999999999999995,6.4,38.0,205,840.0,646,69.6,78.0,7.08,38.1,30.0,23
07/08/2015,14.43,8400,2885,5.0,0.040999999999999995,6.49,38.0,404,1038.0,662,77.05,72.0,7.0,38.0,30.0,23
10/08/2015,11.11,6000,3112,3.57,0.0457,6.4,39.0,621,1392.0,883,71.63,48.0,6.92,41.0,31.0,20
11/08/2015,3.63,2400,2538,1.43,0.0176,6.32,38.0,530,1110.0,753,70.33,48.0,7.11,38.0,30.0,21
14/08/2015,11.84,7680,2590,4.57,0.0453,6.35,39.0,699,1110.0,713,72.47,24.0,7.14,39.8,33.0,22
15/08/2015,11.87,7440,2681,4.43,0.0496,6.3,39.0,611,1056.0,717,73.26,42.0,7.25,38.0,29.0,21
16/08/2015,13.71,8400,2741,5.0,0.0485,6.2,39.0,375,1158.0,685,75.01,60.0,7.04,39.0,32.0,21
17/08/2015,13.57,8400,2713,5.0,0.053,6.22,39.0,761,1116.0,721,73.42,48.0,7.0,39.5,32.0,22
18/08/2015,12.96,7200,3024,4.29,0.0424,6.26,39.0,563,1296.0,924,69.44,42.0,7.09,40.0,32.0,22
19/08/2015,14.98,8400,2996,5.0,0.052000000000000005,6.24,39.0,448,1230.0,920,69.29,66.0,7.09,40.0,30.0,21
20/08/2015,15.02,8400,3004,5.0,0.0535,6.2,39.0,614,1218.0,927,69.14,36.0,7.13,40.0,30.0,21
21/08/2015,15.18,8640,2951,5.14,0.0658,6.15,39.0,795,1392.0,814,72.42,48.0,7.14,41.0,31.0,19
22/08/2015,13.29,7440,3000,4.43,0.0394,6.1,39.0,507,1188.0,948,68.4,48.0,7.11,40.0,33.0,20
23/08/2015,14.25,7680,3117,4.57,0.0475,6.16,39.0,458,1170.0,810,74.01,0.0,7.02,40.0,31.0,20
25/08/2015,15.55,8400,3109,5.0,0.0525,6.25,39.0,490,1188.0,976,68.61,18.0,7.3,40.1,27.0,19
26/08/2015,17.39,9360,3121,5.57,0.0535,6.16,39.0,688,1176.0,818,73.79,78.0,7.05,39.8,27.0,19
27/08/2015,16.2,8880,3064,5.29,0.0529,6.15,39.0,816,1152.0,839,72.62,72.0,7.01,39.5,28.0,18
28/08/2015,15.43,8640,3000,5.14,0.055,6.13,39.0,642,1128.0,887,70.43,42.0,7.06,39.2,30.0,18
29/08/2015,15.83,8400,3165,5.0,0.0485,6.09,39.0,646,1206.0,867,72.61,24.0,6.95,40.0,30.0,17
30/08/2015,14.7,8640,2859,5.14,0.0494,6.13,39.0,613,1182.0,1210,57.68,60.0,6.97,39.3,30.0,20
31/08/2015,16.92,8640,3290,5.14,0.0504,6.06,39.0,509,1254.0,847,74.26,72.0,7.06,40.0,29.0,18
01/09/2015,17.21,8640,3347,5.14,0.0535,6.12,39.0,580,1284.0,1121,66.51,66.0,7.06,39.0,25.0,19
02/09/2015,16.51,8880,3123,5.29,0.0481,6.19,39.0,557,1272.0,905,71.02,48.0,6.99,39.1,25.0,19
03/09/2015,16.42,8880,3107,5.29,0.0497,6.25,39.0,466,1278.0,901,71.0,54.0,7.24,39.0,30.0,18
04/09/2015,16.08,8640,3127,5.14,0.0519,6.23,39.0,608,1206.0,749,76.05,72.0,7.14,40.0,29.0,19
05/09/2015,12.99,8160,2675,4.86,0.0486,6.38,38.0,635,1116.0,732,72.64,42.0,7.22,37.5,26.0,17
06/09/2015,13.97,8640,2716,5.14,0.0576,6.34,38.0,342,1032.0,926,65.91,66.0,7.22,38.0,25.0,15
07/09/2015,14.43,8640,2806,5.14,0.0473,6.23,39.0,559,1134.0,815,70.96,60.0,7.07,38.5,28.0,15
08/09/2015,13.65,8640,2654,5.14,0.0432,6.26,39.0,285,1032.0,868,67.29,54.0,6.96,39.0,29.0,19
09/09/2015,14.44,8880,2732,5.29,0.0518,6.28,39.0,450,1104.0,761,72.14,54.0,7.04,40.0,28.0,20
10/09/2015,16.12,8880,3049,5.29,0.0529,6.31,39.0,536,1140.0,942,69.1,60.0,7.16,39.2,25.0,18
11/09/2015,17.17,9600,3004,5.71,0.0577,6.3,38.0,416,1140.0,946,68.51,96.0,7.18,38.0,22.0,14
12/09/2015,16.13,9600,2823,5.71,0.064,6.43,37.0,203,1140.0,786,72.16,132.0,7.31,37.1,23.0,11
13/09/2015,16.05,9360,2881,5.57,0.0624,6.37,37.0,334,1092.0,1049,63.59,108.0,7.26,36.5,26.0,14
14/09/2015,15.59,8160,3210,4.86,0.0539,6.41,38.0,379,1134.0,1049,67.32,54.0,7.2,38.5,26.0,15
15/09/2015,16.29,9120,3000,5.43,0.0575,6.23,38.0,523,1218.0,872,70.93,108.0,7.15,39.0,26.0,14
16/09/2015,15.62,8880,2955,5.29,0.0449,6.19,39.0,303,1110.0,737,75.06,96.0,7.15,39.0,27.0,14
17/09/2015,15.59,8160,3210,4.86,0.0379,6.28,39.0,372,1266.0,988,69.22,78.0,7.08,40.0,28.0,18
18/09/2015,16.07,9120,2961,5.43,0.0543,6.19,39.0,269,1080.0,873,70.52,48.0,7.05,39.5,25.0,16
19/09/2015,16.14,9120,2974,5.43,0.0559,6.24,39.0,389,1128.0,1021,65.67,60.0,7.1,39.2,27.0,15
20/09/2015,15.56,9360,2792,5.57,0.0501,6.26,38.0,207,1152.0,856,69.34,90.0,7.1,39.0,29.0,13
21/09/2015,15.68,9120,2889,5.43,0.0575,6.27,38.0,290,1068.0,987,65.84,90.0,7.16,38.0,29.0,18
22/09/2015,13.56,8880,2565,5.29,0.0539,6.41,38.0,289,1110.0,759,70.41,84.0,7.2,38.0,26.0,18
23/09/2015,14.45,8880,2733,5.29,0.0566,6.32,38.0,373,1026.0,772,71.75,24.0,7.18,38.0,28.0,18
24/09/2015,17.31,9600,3029,5.71,0.0526,6.14,39.0,330,1110.0,827,72.7,36.0,6.98,39.0,28.0,17
25/09/2015,16.24,9360,2915,5.57,0.0585,6.15,39.0,253,1038.0,957,67.17,84.0,7.12,39.0,27.0,15
26/09/2015,16.1,9360,2889,5.57,0.0613,6.25,39.0,268,984.0,886,69.33,48.0,7.14,39.0,28.0,12
27/09/2015,18.22,9600,3189,5.71,0.0611,6.14,39.0,490,1116.0,1050,67.07,54.0,7.02,39.0,29.0,16
28/09/2015,17.14,9600,2999,5.71,0.0497,6.14,39.0,271,1152.0,844,71.86,72.0,7.03,39.9,27.0,16
29/09/2015,17.79,9360,3193,5.57,0.0568,6.15,39.0,196,1080.0,970,69.62,84.0,7.01,38.0,25.0,16
30/09/2015,15.35,7920,3256,4.71,0.0448,6.09,38.0,442,1176.0,907,72.14,84.0,6.99,38.0,25.0,18
01/10/2015,17.7,8400,3539,5.0,0.0545,6.1,38.0,278,1224.0,966,72.7,48.0,7.09,38.0,20.0,10
02/10/2015,12.29,6480,3186,3.86,0.0409,6.34,37.0,214,1230.0,828,74.01,48.0,7.26,37.0,27.0,11
03/10/2015,15.44,8400,3087,5.0,0.055,6.36,36.6,365,1236.0,1070,65.34,84.0,7.32,36.0,28.0,15
04/10/2015,13.25,8160,2727,4.86,0.0505,6.45,37.0,230,1242.0,820,69.93,66.0,7.31,36.0,27.0,16
05/10/2015,14.66,8640,2850,5.14,0.0617,6.22,38.0,403,1164.0,861,69.79,96.0,7.21,37.0,28.0,14
06/10/2015,14.97,8640,2911,5.14,0.0576,6.03,38.0,179,1080.0,861,70.42,36.0,7.11,38.2,28.0,17
07/10/2015,13.41,8400,2681,5.0,0.059000000000000004,6.49,38.0,182,1062.0,713,73.41,60.0,6.99,38.0,25.0,13
08/10/2015,14.95,8640,2907,5.14,0.0581,6.11,37.0,449,1092.0,943,67.56,120.0,7.11,36.8,21.0,8
